ID,M/F,Age,Cycle ,Age/month,In Vitro Viability,In vitro Exsheathment,In Vivo Viability,In Vivo Exsheathment,Hatchability
2,f,9,4,3,99.3,23.1,99.4,98.2,
3,f,9,4,3,100.0,26.3,99.4,59.7,
4,f,9,4,3,,,98.5,44.0,
1,f,9,4,4,100.0,19.4,98.2,65.9,91.0
2,f,9,4,4,99.2,9.8,96.2,85.5,96.1
3,f,9,4,4,100.0,15.8,99.1,81.6,
4,f,9,4,4,,,98.9,83.4,
1,f,9,4,4,100.0,15.5,98.8,66.9,
2,f,9,4,4,100.0,10.8,97.3,50.0,
3,f,9,4,4,100.0,16.9,99.0,67.5,
4,f,9,4,4,,,98.8,82.3,
1,f,9,4,5,98.8,20.6,95.4,48.5,94.8
2,f,9,4,5,100.0,10.9,94.9,48.7,98.0
3,f,9,4,5,99.7,16.7,97.3,70.9,
4,f,9,4,5,,,96.9,41.8,
1,f,9,4,5,100.0,15.9,98.4,43.8,
2,f,9,4,5,100.0,17.1,99.0,46.1,
3,f,9,4,5,99.0,21.1,94.2,43.3,
1,m,6,5,1,100.0,17.9,99.0,42.0,96.3
2,m,6,5,1,100.0,17.2,98.3,29.6,92.2
3,m,6,5,1,100.0,15.1,100.0,52.4,
4,m,6,5,1,,,100.0,69.3,
1,m,6,5,1,98.7,28.6,99.4,52.9,
2,m,6,5,1,100.0,23.2,99.1,45.4,
3,m,6,5,1,100.0,21.7,99.0,53.1,
4,m,6,5,1,,,98.2,43.4,
1,m,6,5,2,95.8,29.4,98.9,34.2,96.2
2,m,6,5,2,97.7,22.1,99.5,75.4,95.1
3,m,6,5,2,98.8,22.0,98.9,59.0,
4,m,6,5,2,,,95.3,81.4,
1,m,6,5,2,100.0,42.1,96.7,61.0,
2,m,6,5,2,100.0,33.6,95.6,83.8,
3,m,6,5,2,100.0,38.0,98.3,54.3,
4,m,6,5,2,,,100.0,63.1,
1,m,6,5,3,100.0,88.2,99.1,50.7,97.2
2,m,6,5,3,100.0,74.8,100.0,28.1,98.2
3,m,6,5,3,100.0,69.0,97.6,86.2,
4,m,6,5,3,,,99.1,84.6,
1,m,6,5,3,100.0,73.1,99.6,46.1,
2,m,6,5,3,100.0,79.7,98.0,68.0,
3,m,6,5,3,100.0,77.3,98.0,71.1,
4,m,6,5,3,,,98.3,62.9,
1,m,6,5,4,100.0,45.8,97.0,64.2,98.0
2,m,6,5,4,100.0,66.1,98.7,85.3,97.9
3,m,6,5,4,100.0,59.1,98.7,75.7,
4,m,6,5,4,,,98.1,72.8,
1,m,6,5,4,99.1,67.9,98.5,67.5,
2,m,6,5,4,97.3,63.9,99.4,93.0,
3,m,6,5,4,98.3,58.4,99.5,78.0,
4,m,6,5,4,,,99.4,84.4,
1,m,6,5,5,100.0,97.1,99.5,65.4,97.7
2,m,6,5,5,100.0,98.1,98.9,68.9,98.0
3,m,6,5,5,100.0,96.1,99.4,52.7,
4,m,6,5,5,,,98.3,89.5,
1,m,6,5,5,98.2,95.4,98.4,51.4,
2,m,6,5,5,99.1,95.3,99.5,49.8,
3,m,6,5,5,100.0,98.3,97.0,18.5,
4,m,6,5,5,,,98.8,89.7,
1,m,6,5,6,100.0,57.0,,,96.1
2,m,6,5,6,100.0,39.6,,,
3,m,6,5,6,100.0,37.4,,,
4,m,6,5,6,,,,,
,,,,,,,,,
